user_id,timestamp,condition,num_clicks,time_taken_in_ms,click_x,click_y,target_width,num_shapes,screen_width,screen_height,helper_enabled
1,2021-05-10 19:23:49.332693,Circle,1,1922,115,532,40,206,1280,720,False
1,2021-05-10 19:23:50.677877,Circle,1,1221,373,161,40,204,1280,720,False
1,2021-05-10 19:23:52.115674,Circle,1,1182,986,97,40,203,1280,720,False
1,2021-05-10 19:23:53.546915,Circle,1,1217,820,536,40,196,1280,720,False
1,2021-05-10 19:23:55.065831,Circle,1,1113,625,108,40,208,1280,720,False
1,2021-05-10 19:23:56.574288,Circle,1,1502,698,579,40,204,1280,720,False
1,2021-05-10 19:23:57.905020,Circle,1,1052,326,273,40,209,1280,720,False
1,2021-05-10 19:23:59.267727,Circle,1,1356,723,454,40,205,1280,720,False
1,2021-05-10 19:24:00.901039,Circle,1,1370,160,533,40,204,1280,720,False
1,2021-05-10 19:24:02.392325,Circle,1,1227,961,78,40,206,1280,720,False
1,2021-05-10 19:24:03.948641,Square,1,1315,1200,576,40,209,1280,720,False
1,2021-05-10 19:24:05.589198,Square,1,1520,925,413,40,202,1280,720,False
1,2021-05-10 19:24:06.833705,Square,1,1004,467,368,40,206,1280,720,False
1,2021-05-10 19:24:07.847372,Square,1,1008,641,683,40,204,1280,720,False
1,2021-05-10 19:24:09.165988,Square,1,1188,1152,513,40,204,1280,720,False
1,2021-05-10 19:24:10.249939,Square,1,886,719,191,40,210,1280,720,False
1,2021-05-10 19:24:11.359221,Square,1,902,56,83,40,202,1280,720,False
1,2021-05-10 19:24:12.619281,Square,1,1025,650,537,40,208,1280,720,False
1,2021-05-10 19:24:13.801324,Square,1,869,81,74,40,206,1280,720,False
1,2021-05-10 19:24:15.051679,Square,1,950,146,519,40,204,1280,720,False
